,video_title,duration,viewCount,likeCount,commentCount,publishedAt,video_ids
70,7 Cryptography Concepts EVERY Developer Should Know,PT11M55S,593123,29540,846,2021-11-01T16:38:39Z,NuyzuNBFWxQ
71,Make Money from your API Tutorial,PT13M10S,510228,23632,780,2021-10-28T17:07:02Z,MbqSMgMAzxU
72,Next.js 12 is a Beast,PT5M8S,555882,27017,924,2021-10-27T18:48:17Z,lRQ5z7i7pxE
73,WTF is an Abstract Syntax Tree?,PT36S,284085,16244,247,2021-10-26T15:01:56Z,mi6DoxNEN6w
74,Python in 100 Seconds,PT2M24S,919336,47492,1143,2021-10-25T15:19:28Z,x7X9w_GIm1s
75,PHP in 100 Seconds,PT2M21S,559782,31611,1257,2021-10-22T15:08:10Z,a7_WFUlFS94
76,Ultimate Tailwind CSS Tutorial // Build a Discord-inspired Animated Navbar,PT12M56S,436156,21595,761,2021-10-19T16:01:06Z,pfaSUYaSgRo
77,Auth0 in 100 Seconds // And beyond with a Next.js Authentication Tutorial,PT8M24S,179012,8683,227,2021-10-18T15:30:23Z,yufqeJLP1rI
78,It works on localhost,PT39S,636106,52245,599,2021-10-15T15:01:29Z,SlBOpNLFUC0
79,Dart in 100 Seconds,PT2M31S,332792,20432,519,2021-10-13T16:53:20Z,NrO0CJCbYLA
80,Rust in 100 Seconds,PT2M29S,618442,33873,1103,2021-10-12T15:24:43Z,5C_HPTJg5ek
81,Go in 100 Seconds,PT2M30S,598293,33291,907,2021-10-07T15:49:35Z,446E-r0rXHI
82,React Native vs Flutter - I built the same chat app with both,PT10M12S,762945,25992,1043,2021-10-04T14:58:18Z,X8ipUgXH6jw
83,React Native in 100 Seconds,PT2M17S,272932,18629,633,2021-09-28T15:56:21Z,gvkqT_Uoahw
84,Solidity in 100 Seconds,PT2M22S,267277,15132,425,2021-09-27T15:11:25Z,kdvVwGrV7ec
85,How to OVER Engineer a Website // What is a Tech Stack?,PT11M20S,989472,59390,2212,2021-09-24T14:41:18Z,Sxxw3qtb3_g
86,D3.js in 100 Seconds,PT2M20S,219037,17355,270,2021-09-21T17:04:07Z,bp2GF8XcJdY
87,Content Platforms Explained in 100 Seconds // Build your own with Sanity,PT24M20S,98002,4539,313,2021-09-20T17:54:07Z,c_8cplBi_gE
88,"How to ""Google It"" like a Senior Software Engineer",PT4M7S,897186,75449,1060,2021-09-16T14:58:44Z,cEBkvm0-rg0
89,Springy Animated Modals // Framer Motion & React Tutorial for Beginners,PT11M3S,152643,6522,200,2021-09-14T15:12:22Z,SuqU904ZHA4
90,Machine Learning Explained in 100 Seconds,PT2M35S,163547,12272,377,2021-09-09T17:31:56Z,PeMlggyqz0Y
91,13 Advanced (but useful) Git Techniques and Shortcuts,PT8M7S,500570,28388,1112,2021-09-07T16:57:28Z,ecK3EnyGD8o
92,PostCSS in 100 Seconds,PT2M13S,162203,10134,261,2021-09-02T16:52:51Z,WhCXiEwdU1A
93,I built a decentralized chat dapp // GUN web3 Tutorial,PT10M47S,343782,13806,558,2021-08-31T15:06:43Z,J5x3OMXjgMc
94,Tailwind in 100 Seconds,PT2M21S,323327,30487,838,2021-08-26T16:07:49Z,mr15Xzb1Ook
95,Awesome User Avatars Made Easy,PT42S,390202,30219,221,2021-08-24T14:56:45Z,TqnC96-nXAA
96,Bash in 100 Seconds,PT2M33S,629922,44109,839,2021-08-23T15:03:01Z,I4EWvMFj37g
97,Build a Curvaceous Homepage // Wavy Background Tutorial with SVG & CSS,PT11M43S,420671,24155,366,2021-08-19T17:23:52Z,lPJVi797Uy0
98,Reacting to Controversial Opinions of Software Engineers,PT9M18S,863340,43016,4275,2021-08-17T15:52:02Z,goy4lZfDtCE
99,I built the same app 10 times // Which JS Framework is best?,PT21M58S,1208159,52782,2811,2021-08-11T17:39:23Z,cuHDQhDhvPE
100,This weird skill helps you learn to code faster,PT40S,584612,35229,771,2021-08-05T15:47:35Z,BQBMbwfC6TY
101,The Decline of Firebase (bundle sizes) // New JavaScript SDK First Look,PT5M15S,124198,5899,200,2021-08-04T16:15:08Z,zd6ffqoK_EU
102,NestJS in 100 Seconds,PT2M21S,255675,15634,835,2021-07-30T14:30:00Z,0M8AYU_hPas
103,Terraform in 100 Seconds,PT2M18S,203944,12832,411,2021-07-28T15:00:26Z,tomUWcQ0P3k
104,Quick overview of CSS,PT33S,238454,19220,101,2021-07-27T14:51:32Z,OAuZGexox5s
105,7 Ways to Deploy a Node.js App,PT9M14S,229834,12185,382,2021-07-26T15:48:39Z,uEVmD6n8Il0
106,Astro in 100 Seconds,PT2M17S,178490,12943,422,2021-07-15T17:21:04Z,dsTXcSeAZq8
107,MongoDB in 100 Seconds,PT2M27S,370633,19485,822,2021-07-14T16:30:49Z,-bt_y4Loofg
108,"Why do computers use RGB for colors, and not RBY?",PT44S,2231628,129837,1402,2021-07-13T15:01:21Z,B1t4Fjlomi8
109,21+ Browser Dev Tools & Tips You Need To Know,PT9M26S,187751,15999,572,2021-07-12T14:48:54Z,TcTSqhpm80Y
110,Redis in 100 Seconds,PT2M26S,321182,19424,485,2021-07-08T15:17:57Z,G1rOthIU-uo
111,Is your memory leaking?,PT40S,217735,13489,243,2021-07-07T15:26:52Z,XQMVOoPZLYs
112,DNS Explained in 100 Seconds,PT2M16S,105392,9821,237,2021-07-06T15:03:54Z,UVR9lhUGAyU
113,The Truth about Github Copilot // AI Programming First Look,PT8M30S,739857,38049,3070,2021-06-30T16:02:37Z,4duqI8WyfqE
114,TypeScript is Literal Magic,PT26S,581541,37762,415,2021-06-29T15:26:21Z,5JqzCjg4YRU
115,Top 50+ AWS Services Explained in 10 Minutes,PT11M46S,684201,37740,901,2021-06-28T16:08:31Z,JIbIYCM48to
116,Google Sheets… Your Next Database?,PT7M16S,224281,9837,651,2021-06-23T17:59:55Z,K6Vcfm7TA5U
117,Build 5 Apps in 5 Minutes with Flutter… But should you?,PT8M53S,381476,15568,618,2021-06-22T18:56:24Z,7JdcGBSWo50
118,God Tier HTML Programming,PT50S,920235,92215,849,2021-06-18T15:05:16Z,ZtyMdRzvi0w
119,Closures Explained in 100 Seconds // Tricky JavaScript Interview Prep,PT4M57S,175503,13670,337,2021-06-17T16:02:19Z,vKJpN5FAeF4
120,Why do computers suck at math?,PT54S,5476118,266942,2293,2021-06-15T16:42:46Z,s9F8pu5KfyM
121,25 VS Code Productivity Tips and Speed Hacks,PT11M35S,998493,50149,1650,2021-06-14T17:13:31Z,ifTF3ags0XI
122,Hasura in 100 Seconds,PT2M16S,172204,10537,342,2021-06-10T15:01:00Z,xiZ61BkMKo8
123,Async Await try-catch hell,PT46S,567596,37147,811,2021-06-08T14:54:34Z,ITogH7lJTyE
124,GUN Decentralized Graph DB in 100 Seconds,PT2M19S,105509,7073,526,2021-06-07T14:13:46Z,oTQXzhm8w_8
125,Test-Driven Development // Fun TDD Introduction with JavaScript,PT12M55S,293814,15221,336,2021-06-04T15:49:30Z,Jv2uxzhPFl4
126,Fullstack Development Iceberg #Shorts,PT40S,537592,31951,506,2021-05-25T14:24:59Z,JMWNYfPIF2U
127,Software Testing Explained in 100 Seconds,PT2M16S,127671,12050,282,2021-05-24T16:05:50Z,u6QfIXgjwGQ
128,Build a Mindblowing 3D Portfolio Website // Three.js Beginner’s Tutorial,PT15M38S,1288393,60936,1011,2021-05-21T16:36:40Z,Q7AOvWpIVHU
129,WebGL 3D Graphics Explained in 100 Seconds,PT2M7S,167099,11664,313,2021-05-12T16:28:04Z,f-9LEoYYvE4
130,How a CPU Works in 100 Seconds // Apple Silicon M1 vs Intel i9,PT12M44S,1240346,42369,1067,2021-05-06T16:37:54Z,vqs_0W-MSB0
131,Is Supabase Legit? Firebase Alternative Breakdown,PT8M16S,214333,9799,500,2021-04-29T15:04:51Z,WiwfiVdfRIc
132,Sass in 100 Seconds,PT2M31S,237135,18348,464,2021-04-27T15:36:41Z,akDIJa0AP5c
133,I've become my own Arch Enemy #shorts,PT31S,143965,11879,839,2021-04-25T18:27:51Z,epH4QvLUXlY
134,Ethical Hacking in 100 Seconds // And why do we need CORS?,PT11M5S,95887,5263,221,2021-04-20T15:11:38Z,v969_M6cWk0
135,How to use TypeScript with React... But should you?,PT6M36S,497364,19521,1062,2021-04-19T15:04:23Z,ydkQlJhodio
136,MySQL - The Basics // Learn SQL in 23 Easy Steps,PT17M17S,221446,11290,1141,2021-04-16T15:41:25Z,Cz3WcZLRaWc
137,3 More Life-Changing CSS Tips,PT2M59S,156595,12341,335,2021-04-14T16:42:39Z,JSURzPQnkl0
138,Svelte in 100 Seconds,PT2M12S,217268,12503,613,2021-04-13T16:18:52Z,rv3Yq-B8qp4
139,TODO: Write Good Code Comments #Shorts,PT49S,459138,29611,419,2021-04-10T15:17:45Z,kt0bfw4YkFk
140,"10 CSS Pro Tips - Code this, NOT that!",PT9M39S,978161,61678,1691,2021-04-09T14:20:29Z,Qhaz36TZG5Y
141,Easy Hand-Drawn SVG Animation #Shorts,PT42S,272923,27148,226,2021-04-07T15:29:03Z,LuWdeuPMHps
142,SQL Explained in 100 Seconds,PT2M23S,204268,12257,379,2021-04-06T14:47:25Z,zsjvFFKOm3c
143,Top 3 Ways to Center a DIV with CSS #Shorts,PT37S,936788,69271,722,2021-04-01T15:54:03Z,njdJeu95p6s
144,Get Paid with Crypto in your App // Coinbase Commerce Tutorial,PT8M2S,77720,3027,291,2021-03-31T17:19:53Z,sZif1kuAjcY
145,Delete node_modules like a Pro #Shorts,PT40S,325623,23649,570,2021-03-30T14:40:54Z,qOSH2pYg6m8
146,CORS in 100 Seconds,PT2M31S,330484,20736,521,2021-03-29T15:17:54Z,4KHiSt0oLJ0
147,Roko's Basilisk (skip this one) #Shorts,PT54S,60400,3026,180,2021-03-27T16:15:31Z,nKwIDjiyXnA
148,Make Awesome SVG Animations with CSS // 7 Useful Techniques,PT12M20S,484178,26891,375,2021-03-26T19:57:15Z,UTHgr6NLeEw
149,Reverse Engineer CSS Animations #Shorts,PT39S,658584,52438,436,2021-03-25T15:18:30Z,ecl-eCbYFPM
150,SVG Explained in 100 Seconds,PT2M20S,532463,32255,521,2021-03-24T17:09:49Z,emFMHH2Bfvo
151,4 Steps to Become a Developer #Shorts,PT51S,180467,13950,347,2021-03-23T15:54:48Z,nvlizC6koSc
152,Why so many distros? The Weird History of Linux,PT8M23S,704379,31619,1389,2021-03-22T16:16:02Z,ShcR4Zfc6Dw
153,VS Code Path Trick w/ JavaScript #Shorts,PT25S,352917,33022,516,2021-03-21T15:44:47Z,WpgZKBtW_t8
154,7 Linux Things You Say WRONG #Shorts,PT31S,105957,7556,393,2021-03-20T15:27:42Z,pL7h1tUzrBs
155,Serverless Computing in 100 Seconds,PT16M46S,159286,7152,279,2021-03-17T17:46:04Z,W_VV2Fx32_Y
156,WebRTC in 100 Seconds // Build a Video Chat app from Scratch,PT11M19S,282448,12295,369,2021-03-15T16:15:28Z,WmR9IMUD_CY
157,Bitcoin ₿ in 100 Seconds // Build your Own Blockchain,PT13M29S,305999,16792,959,2021-03-01T16:49:03Z,qF7dkrce-mQ
158,Invite Only! Use FOMO to grow your app // Exclusive Phone SignIn Tutorial,PT10M51S,57234,2700,188,2021-02-25T16:31:25Z,yJ5agkia4o8
159,RESTful APIs in 100 Seconds // Build an API from Scratch with Node.js Express,PT11M20S,568689,22711,744,2021-02-19T13:53:45Z,-MTSQjw5DrM
160,Dgraph Graph Database in 100 Seconds,PT2M21S,102451,7434,237,2021-02-15T20:35:06Z,OzDG68VvPxY
161,GraphQL Explained in 100 Seconds,PT2M22S,511837,27926,583,2021-02-13T16:17:17Z,eIQh02xuVw4
162,Linux Directories Explained in 100 Seconds,PT2M53S,670417,53428,975,2021-02-12T15:51:20Z,42iQKuQodW4
163,Vim in 100 Seconds,PT11M53S,577399,23776,1333,2021-02-10T15:34:04Z,-txKSRn0qeA
164,SEO for Developers in 100 Seconds,PT11M52S,348885,18463,329,2021-02-08T16:55:52Z,-B58GgsehKQ
165,~/.dotfiles in 100 Seconds,PT13M54S,218715,11455,385,2021-02-01T14:40:34Z,r_MpUP6aKiQ
166,Fork you ElasticSearch! How Open Source Works,PT8M33S,88787,6301,382,2021-01-25T20:35:46Z,tzq4asJegKY
167,? in NaN Seconds,PT2M33S,80615,8353,293,2021-01-22T16:57:11Z,O0gmXbN7lVE
168,Raspberry Pi Explained in 100 Seconds,PT2M8S,150186,11537,338,2021-01-20T15:05:19Z,eZ74x6dVYes
169,10 React Hooks Explained // Plus Build your own from Scratch,PT13M15S,664098,30586,670,2021-01-18T18:20:26Z,TNhaISOUy6Q
170,Raspberry Pi versus AWS // How to host your website on the RPi4,PT8M39S,683347,33447,1711,2021-01-14T17:36:29Z,QdHvS0D1zAI
171,JS Destructuring in 100 Seconds,PT3M31S,102258,10576,283,2021-01-12T16:48:00Z,UgEaJBz3bjY
172,7 Web Features You Didn’t Know Existed,PT10M16S,198313,12210,402,2021-01-07T15:15:09Z,ppwagkhrZJs
173,Next.js in 100 Seconds // Plus Full Beginner's Tutorial,PT11M52S,488392,17290,475,2021-01-05T17:33:17Z,Sklc_fQBmcs
174,Progressive Web Apps in 100 Seconds // Build a PWA from Scratch,PT8M10S,429096,26724,373,2020-12-16T18:30:17Z,sFsRylCQblw
175,"How to Burn Money in the Cloud // Avoid AWS, GCP, Azure Cost Disasters",PT9M,384716,15065,652,2020-12-14T16:00:09Z,N6lYcXjd4pg
176,WebSockets in 100 Seconds & Beyond with Socket.io,PT8M31S,512504,25052,420,2020-12-10T15:14:17Z,1BfCnjr_Vjg
177,2021 Tech Trends & Predictions for Developers,PT9M29S,275837,16704,623,2020-12-07T17:34:55Z,oHtR5YSPLjo
178,Firebase Security in 100 Seconds,PT2M20S,52690,3088,112,2020-12-03T17:17:12Z,sw1Uy3zwsLs
179,TypeScript in 100 Seconds,PT2M25S,360898,19043,317,2020-11-25T15:28:06Z,zQnBQ4tB3ZA
180,7 Fancy Programming Words,PT8M26S,127089,10210,266,2020-11-23T16:21:16Z,4Zc9ci9L5wY
181,WASM + React... Easily build video editing software with JS & FFmpeg,PT8M1S,114333,6302,254,2020-11-17T17:12:30Z,-OTc0Ki7Sv0
182,Session vs Token Authentication in 100 Seconds,PT2M18S,437723,20785,284,2020-10-29T16:00:12Z,UBUNrFtufWo
183,Web Assembly (WASM) in 100 Seconds,PT2M16S,492757,26745,658,2020-10-26T15:55:11Z,cbB3QEwWMlA
184,"Module Bundlers Explained... Webpack, Rollup, Parcel, and Snowpack",PT9M56S,244376,13509,411,2020-10-22T16:36:22Z,5IG4UmULyoA
185,NGINX Explained in 100 Seconds,PT2M5S,685117,33519,439,2020-10-16T15:06:44Z,JKxlsvZXG7c
186,FaunaDB Basics - The Database of your Dreams,PT16M36S,165378,6381,400,2020-10-15T17:30:09Z,2CipVwISumA
187,Kubernetes Explained in 100 Seconds,PT2M7S,338963,16831,275,2020-09-24T19:54:38Z,PziYflu8cB8
188,I built a chat app in 7 minutes with React & Firebase,PT8M53S,779977,26563,1155,2020-09-23T17:48:40Z,zQyrwxMPm88
189,The Legend of jQuery in 100 Seconds,PT2M11S,244341,13880,714,2020-09-14T17:45:36Z,UU-GebNqdbg
190,CSS Card Tricks,PT8M47S,148309,9616,264,2020-09-11T16:59:12Z,29deL9MFfWc
191,Angular in 100 Seconds,PT2M,394627,13965,476,2020-09-09T17:54:21Z,Ata9cSC2WpM
192,React in 100 Seconds,PT2M8S,637528,30177,518,2020-09-08T19:06:55Z,Tn6-PIqc4UM
193,7 Database Paradigms,PT9M53S,916053,41766,737,2020-09-03T16:01:48Z,W2Z7fbCLSTw
194,Computer Networking in 100 Seconds,PT2M18S,78524,6563,187,2020-08-26T19:00:34Z,keeqnciDVOo
195,Learn Docker in 7 Easy Steps - Full Beginner's Tutorial,PT11M2S,728120,34113,603,2020-08-24T15:54:20Z,gAkwW2tuIqE
196,Docker in 100 Seconds,PT2M7S,448475,25257,302,2020-08-17T17:02:47Z,Gjnup-PuquQ
197,Flutter Firebase Setup for Power Users,PT12M59S,57437,2362,125,2020-08-11T16:29:45Z,Mx24wiPilHg
198,Firebase - Back to the Basics,PT25M23S,365609,11613,456,2020-07-29T16:34:36Z,q5J5ho7YUhA
199,CSS Pseudo-elements :: in 100 Seconds,PT1M57S,66717,4864,138,2020-06-08T14:35:50Z,e1KpKBHJOrA
200,CSS Pseudo-classes: in 100 Seconds,PT2M,61503,4821,95,2020-06-08T14:31:18Z,kpXKwDGtjGE
201,How Tom Scott & Mr. Beast use APIs to update their videos programmatically,PT8M53S,428188,15501,371,2020-05-25T15:30:47Z,JjXBrJfp5TE
202,Node.js Ultimate Beginner’s Guide in 7 Easy Steps,PT16M20S,755918,28518,584,2020-05-21T17:16:56Z,ENrzD9HAZK4
203,Regular Expressions (RegEx) in 100 Seconds,PT2M22S,313118,20342,377,2020-05-19T18:05:37Z,sXQxhojSdZM
204,Animated CSS Login Form w/ Password Validation Meter,PT14M37S,68117,3916,174,2020-05-18T15:15:10Z,yrrw6KdGuxc
205,Get Paid with Stripe in 100 Seconds,PT2M10S,123444,5897,135,2020-05-12T16:43:44Z,7edR32QVp_A
206,Deno in 100 Seconds,PT2M10S,377223,14732,695,2020-05-05T15:36:30Z,F0G9lZ7gecE
207,7 Full Stack App Ideas for Developers w/ Instructions Included,PT8M35S,582128,27264,390,2020-04-29T15:43:26Z,JTOJsU3FSD8
208,Graph Search Algorithms in 100 Seconds - And Beyond with JS,PT10M30S,163673,9340,453,2020-04-25T15:57:41Z,cWNEl4HE2OE
209,CSS Animation in 100 Seconds,PT2M5S,203908,12282,227,2020-04-21T14:36:24Z,HZHHBwzmJLk
210,Advanced Dropdown Menu - React & CSS Animation Tutorial for Beginners,PT16M52S,563938,21234,598,2020-04-17T18:17:07Z,IF6k0uZuypA
211,Flutter in 100 seconds,PT2M10S,487715,20267,447,2020-04-14T16:23:15Z,lHhRhPV--G0
212,COBOL in 100 seconds,PT2M3S,602252,27992,1045,2020-04-11T17:53:37Z,7d7-etf-wNI
213,Your Form was Autosaved with Vue & Firestore,PT11M19S,47965,1697,118,2020-04-10T18:06:03Z,wvRVfyPKOA0
214,BEST Web Dev Setup? Windows & Linux at the same time (WSL),PT10M36S,437457,17176,1237,2020-04-06T17:14:29Z,-atblwgc63E
215,Vue.js Explained in 100 Seconds,PT2M4S,748725,25844,562,2020-04-03T16:50:03Z,nhBVL41-_Cw
216,What is THIS in JavaScript? in 100 seconds,PT6M38S,141156,8712,324,2020-03-27T17:14:30Z,YOlr79NaAtQ
217,CSS Theme Switcher by Reverse-Engineering Alligator.io,PT13M54S,166891,8276,222,2020-03-25T17:47:31Z,rXuHGLzSmSE
218,Problem-Solving for Developers - A Beginner's Guide,PT10M44S,332413,17996,351,2020-03-24T16:59:07Z,UFc-RPbq8kg
219,CSS Variables in 100 Seconds,PT1M56S,103312,7882,143,2020-03-19T16:50:14Z,NtRmIp4eMjs
220,GitHub Pull Request in 100 Seconds - Git a FREE sticker 🔥,PT1M52S,98658,3985,132,2020-03-17T14:40:32Z,8lGpZkjnkt4
221,5 Ways to DevOps-ify your App - Github Actions Tutorial,PT12M12S,450127,17549,250,2020-03-16T16:29:25Z,eB0nUzAI7M8
