,username,comments,user_channelid,posted_at,updated_at,likes,replies,reply
59,Hugo Santos,Isn’t multiple dispatch just method overloading?,UCT3yI-B6Ugjn-YiVdfOnOLw,2022-05-20T00:06:18Z,2022-05-20T00:06:26Z,0,0,
60,Lawrence D’Oliveiro,"Anybody else want to see LISP in 100 seconds? As old as it is, its macro facility is still streets ahead of struggling with <a href=""http://www.youtube.com/results?search_query=%23define"">#define</a> in C.",UC5c-JQgyIJLQI2KW-5YTZ6Q,2022-05-20T00:05:10Z,2022-05-20T00:05:10Z,0,1,Not yet? come on @fireship
61,exosfear512,"Do Zig next, or when its a bit more matured!",UCqAdAM6ypRmBQlzpqGcm50g,2022-05-20T00:02:12Z,2022-05-20T00:02:12Z,0,0,
62,I,"Ok, that&#39;s pretty cool",UCjP-fQnhuZ9MymrWyL3_ZKw,2022-05-20T00:01:19Z,2022-05-20T00:01:19Z,0,0,
63,Sebastián López,Sounds awesome!,UCVmJXmEKHJV-HdxPS0pGPgw,2022-05-19T23:56:44Z,2022-05-19T23:56:44Z,0,0,
64,Mark Vrankovich,"self.Sounds self.better self.than self.Python. If all the cool python libraries were made available for it, then it would be amazing...",UC8PrFwxGEVDYi0g6VW7IjVg,2022-05-19T23:54:33Z,2022-05-19T23:54:33Z,0,0,
65,Shelly Shubh,What about SwiftUI in 100 seconds,UCkn7C5m4VjTfK0X_Jlr7yYw,2022-05-19T23:47:58Z,2022-05-19T23:47:58Z,0,0,
66,JQ,Literally the only YT channel I enjoy playing at 0.75x,UClz88CjmYXoTNbD-QLx_5Yw,2022-05-19T23:45:42Z,2022-05-19T23:45:42Z,0,0,
67,Christopher Wallace,it looks like JavaScript if it was invented today.,UCgMbYAIVVI3JfHgrZsJJhMA,2022-05-19T23:44:14Z,2022-05-19T23:44:14Z,0,0,
68,Caparazo,This was really good. I hope you do a video on R one day.,UCDcOttl3GwQoA2Bf9KQttmg,2022-05-19T23:26:11Z,2022-05-19T23:26:11Z,0,0,
69,10 Gamer,Question: Can we get FORTRAN in 100 seconds to complement Julia &amp; COBOL?,UCu1I1IOzNWoMa0g4XoE5V4g,2022-05-19T23:24:25Z,2022-05-19T23:24:25Z,0,0,
70,Pedro Esmeriz,"Wow I suggested this in another video and you actually did it! Thank you, good stuff as always!",UCxwpjP9VZMLLjf4iqJ4qKFA,2022-05-19T23:22:57Z,2022-05-19T23:22:57Z,0,0,
